"","Categorie","Forme","Gender","Marque","Material Fond","Material Front","Structure","Taille","Taille Temple","year"
"48","Lunettes de Soleil","AVIATNAVI","UNISEX AD","CARRERA","ACETATE","ACETATE","FULL-RIM",50,145,2016
"49","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",60,145,2017
"50","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"51","Lunettes Optiques","RECTANGULAR / SQUARE","MAN","CARRERA","ACETATE","ACETATE","FULL-RIM",51,145,2016
"52","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"53","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"54","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"55","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"56","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"57","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"58","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"59","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"60","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"61","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"62","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"63","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"64","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"65","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"66","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"67","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"68","Lunettes de Soleil","NAVIGATOR","MAN","CARRERA","METAL","METAL","FULL-RIM",60,145,2017
"69","Lunettes Optiques","ROUND / OVAL","UNISEX AD","CARRERA","STEEL","STEEL","FULL-RIM",48,145,2017
"70","Lunettes Optiques","ROUND / OVAL","UNISEX AD","CARRERA","STEEL","STEEL","FULL-RIM",48,145,2017
"71","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",50,145,2017
"72","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"73","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",50,140,2017
"74","Lunettes de Soleil","ROUND / OVAL","MAN","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",50,140,2017
"75","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"76","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"77","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"78","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","OPTYL","METAL (M)","FULL-RIM",53,145,2017
"79","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","OPTYL","METAL (M)","FULL-RIM",53,145,2017
"80","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",50,145,2017
"81","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","OPTYL","METAL (M)","FULL-RIM",53,145,2017
"82","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",50,145,2017
"83","Lunettes Optiques","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","ACETATE METAL","FULL-RIM",50,140,2017
"84","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"85","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"86","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
